@relation 'mushroom-weka.filters.unsupervised.attribute.StringToNominal-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23-weka.filters.unsupervised.attribute.AddNoise-C2-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C3-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C4-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C5-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C6-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C7-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C8-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C9-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C10-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C11-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C12-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C13-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C14-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C15-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C16-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C18-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C19-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C20-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C21-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C22-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C23-P25-S1'

@attribute class {p,e}
@attribute cap-shape {x,b,s,f,k,c}
@attribute cap-surface {s,y,f,g}
@attribute cap-color {n,y,w,g,e,p,b,u,c,r}
@attribute bruises {t,f}
@attribute odor {p,a,l,n,f,c,y,s,m}
@attribute gill-attachment {f,a}
@attribute gill-spacing {c,w}
@attribute gill-size {n,b}
@attribute gill-color {k,n,g,p,w,h,u,e,b,r,y,o}
@attribute stalk-shape {e,t}
@attribute stalk-root {e,c,b,r}
@attribute stalk-surface-above-ring {s,f,k,y}
@attribute stalk-surface-below-ring {s,f,y,k}
@attribute stalk-color-above-ring {w,g,p,n,b,e,o,c,y}
@attribute stalk-color-below-ring {w,p,g,b,n,e,y,o,c}
@attribute veil-type {p}
@attribute veil-color {w,n,o,y}
@attribute ring-number {o,t,n}
@attribute ring-type {p,e,l,f,n}
@attribute spore-print-color {k,n,u,h,w,r,o,y,b}
@attribute population {s,n,a,v,y,c}
@attribute habitat {u,g,m,d,p,w,l}

@data
e,c,f,b,f,y,a,w,n,r,t,b,y,f,c,y,p,n,t,n,r,v,u
e,s,s,p,f,a,a,w,n,g,t,e,y,y,g,c,p,n,n,f,o,s,g
e,f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,y,u
e,x,s,y,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d
e,b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m
p,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
e,c,g,y,f,l,a,w,n,b,e,c,k,k,y,n,p,n,n,e,y,y,m
e,x,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p
e,b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m
e,x,f,y,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d
e,s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u
p,x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u
e,c,y,g,f,n,a,c,b,y,e,r,f,f,b,n,p,n,t,f,y,c,u
e,b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m
e,b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g
e,x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p
e,x,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,u
p,x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g
e,x,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m
e,x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g
e,f,f,r,f,c,a,w,n,w,t,b,f,k,c,c,p,n,n,e,b,c,w
e,x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m
e,f,g,w,f,f,a,w,n,k,t,c,k,f,y,g,p,y,n,n,u,v,m
e,f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,p
e,b,f,w,f,f,a,w,n,p,t,b,k,f,n,y,p,n,t,f,o,n,p
e,x,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g
e,b,s,n,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m
p,x,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
p,b,y,n,f,l,a,w,b,b,t,b,k,f,p,n,p,y,t,l,h,c,g
e,b,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m
e,f,f,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g
e,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g
e,x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g
e,x,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,y,p
e,s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
e,b,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m
e,b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
e,b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m
e,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g
e,f,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g
e,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g
e,f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g
e,x,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g
e,x,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
e,f,f,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
e,c,s,n,f,n,a,w,n,y,t,b,y,k,g,e,p,o,n,f,y,y,w
e,f,f,y,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d
e,x,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p
e,b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g
e,c,f,u,f,f,a,c,b,h,e,r,f,f,g,y,p,y,n,e,u,c,m
e,x,s,w,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d
e,b,s,w,f,f,a,w,n,h,t,e,f,f,b,n,p,o,n,l,w,a,l
p,x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u
e,f,y,n,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,g
e,x,s,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g
p,x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g
e,s,g,w,t,f,a,w,b,p,t,c,f,y,e,p,p,y,t,l,o,v,g
e,x,f,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g
e,x,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g
e,k,y,b,t,c,a,c,n,r,e,r,f,k,n,b,p,n,t,f,h,y,d
e,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g
e,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g
e,k,f,b,f,c,a,w,n,p,t,b,y,k,o,y,p,y,t,f,r,v,m
e,s,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u
e,x,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u
e,b,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g
e,x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g
e,x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m
e,x,s,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g
e,s,y,b,f,n,a,w,n,e,t,b,k,y,y,p,p,n,n,l,r,n,m
e,f,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g
e,x,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g
e,b,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g
e,x,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g
e,b,g,p,t,c,a,c,n,k,e,b,y,k,e,e,p,y,t,p,r,a,m
e,b,s,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g
e,k,g,g,f,a,a,w,n,e,t,c,y,s,g,p,p,y,t,f,r,v,d
e,x,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p
e,k,f,b,f,y,a,w,n,e,t,e,k,k,n,c,p,y,t,f,k,s,u
e,b,s,u,f,m,a,w,n,p,t,r,k,y,p,o,p,o,n,e,b,a,g
e,k,f,r,f,l,a,w,n,e,t,e,k,s,o,y,p,n,n,e,o,c,w
e,s,g,g,f,a,a,w,n,w,t,b,f,k,c,y,p,n,t,f,h,n,d
e,b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
e,x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m
e,x,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g
e,s,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,u
e,x,f,w,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d
e,x,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m
p,s,g,u,f,s,a,w,b,r,t,b,y,y,p,o,p,o,t,e,w,s,p
e,x,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g
e,x,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,y,u
e,x,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g
e,x,s,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d
e,b,y,g,t,c,a,w,b,e,t,r,y,y,n,y,p,n,t,l,r,v,l
p,x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g
e,x,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m
p,f,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g
e,f,s,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g
e,x,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
e,x,s,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g
e,s,f,w,f,y,a,w,n,n,t,b,y,y,c,o,p,y,n,l,y,a,u
e,f,f,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g
e,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g
e,b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m
e,b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
e,x,f,b,f,a,a,w,n,p,t,e,k,y,o,c,p,o,t,l,r,n,w
e,f,s,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d
e,f,g,p,f,p,a,w,n,h,t,r,k,k,y,c,p,o,t,l,b,v,g
e,f,s,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
p,c,g,r,f,a,a,w,b,r,t,r,f,f,b,p,p,o,t,e,h,a,p
e,f,f,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d
e,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g
p,x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g
e,x,g,r,f,a,a,w,n,u,t,b,f,y,p,p,p,y,n,n,o,c,u
e,x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p
e,b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m
e,s,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
e,k,s,w,f,m,a,w,n,u,t,b,k,k,g,e,p,y,t,f,o,c,l
e,x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g
e,x,f,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g
e,f,f,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g
e,x,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m
e,b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g
e,b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m
e,x,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
e,x,s,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g
e,x,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g
e,f,y,w,t,l,a,w,b,o,t,r,y,f,c,e,p,y,n,n,h,a,l
e,x,s,w,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d
e,b,s,u,f,y,a,w,n,h,t,r,f,y,g,g,p,n,t,n,b,n,w
e,b,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g
e,x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g
e,b,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m
e,b,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g
e,c,g,b,f,c,a,w,n,w,t,r,y,f,e,y,p,y,t,e,y,v,u
e,b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g
e,x,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u
e,b,f,e,f,c,a,w,n,k,t,e,f,f,o,p,p,y,n,e,r,c,l
e,x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g
e,f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,p
e,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
e,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m
e,x,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g
e,b,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g
e,x,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u
e,k,f,p,f,m,a,w,n,r,t,e,y,f,e,e,p,y,n,l,b,n,p
e,x,f,y,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d
e,s,s,p,f,n,a,w,n,g,t,e,k,y,y,c,p,n,t,e,w,a,l
e,f,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g
e,b,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m
e,x,g,p,f,p,a,w,n,b,t,b,k,k,b,p,p,y,t,l,r,a,l
e,b,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g
e,x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m
e,k,g,p,f,m,a,w,n,e,t,r,k,f,c,o,p,y,n,e,o,v,p
p,k,g,y,f,a,a,w,b,r,t,c,f,f,c,c,p,y,n,e,y,a,w
e,s,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u
e,f,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,v,u
e,s,g,r,f,m,a,w,n,b,t,r,y,k,y,c,p,o,t,n,b,c,u
e,b,g,w,f,p,a,w,n,o,t,b,k,s,n,c,p,y,n,n,h,y,d
p,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g
e,b,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
e,k,g,r,t,m,a,w,b,k,t,r,f,f,c,o,p,n,t,f,y,a,g
e,b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g
e,s,s,r,f,y,a,w,n,g,t,c,k,y,p,g,p,y,t,e,y,c,u
e,x,f,u,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,p
e,x,s,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d
e,b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m
e,b,y,c,f,n,a,c,b,u,e,c,f,f,o,g,p,y,n,e,h,c,u
e,f,f,w,f,m,a,w,n,b,t,e,y,y,y,b,p,y,t,e,h,s,p
e,f,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u
e,f,g,n,f,p,a,w,n,h,t,b,y,k,c,o,p,o,n,e,n,y,m
e,x,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m
e,k,g,y,f,a,a,w,n,o,t,b,y,y,g,y,p,y,n,l,y,v,u
e,c,f,c,f,p,a,c,b,w,e,r,y,y,c,o,p,n,t,n,h,y,g
e,x,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
e,f,g,y,f,s,a,w,n,r,t,b,f,k,b,e,p,n,t,n,w,y,w
e,s,y,c,f,l,a,w,n,b,t,r,f,k,e,o,p,o,n,l,u,a,l
e,x,f,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g
e,f,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p
p,c,y,y,f,a,a,w,b,n,t,r,y,k,e,o,p,o,n,f,h,c,m
e,b,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g
e,b,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m
e,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g
e,b,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g
e,x,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g
e,b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m
e,f,s,p,f,c,a,c,b,y,e,e,k,y,y,c,p,y,t,e,r,s,p
e,x,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u
e,f,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g
e,k,f,c,f,c,a,w,n,g,t,e,f,y,e,c,p,n,n,n,n,s,l
e,x,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g
e,x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g
e,s,s,e,f,f,a,w,n,y,t,r,k,y,g,y,p,y,n,e,w,c,d
e,s,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
e,b,f,c,f,p,a,w,n,k,t,b,y,k,g,g,p,n,n,e,u,a,l
p,x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g
e,x,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g
e,f,f,r,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
e,x,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m
e,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g
e,x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g
e,x,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g
p,x,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u
e,b,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g
e,x,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,y,u
p,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
e,s,f,n,f,a,a,w,n,y,t,e,f,k,b,g,p,y,t,f,h,a,u
e,f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u
e,b,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g
e,x,f,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d
e,x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g
e,b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g
e,f,g,c,f,n,a,w,n,o,t,c,f,k,p,b,p,n,n,e,u,v,m
e,f,y,y,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p
e,x,g,p,f,f,a,w,n,n,t,b,k,s,b,p,p,n,t,l,n,c,m
e,x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g
e,x,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m
p,x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u
e,f,f,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d
e,b,f,r,f,f,a,w,n,u,t,e,y,k,o,b,p,o,n,f,u,n,w
e,x,s,w,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d
e,x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m
e,f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p
e,x,s,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g
e,f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g
